Fragment_length	CCGG-CCGG

4	86
5	54
6	139
7	95
8	124
9	1141
10	68
11	502
12	212
13	69
14	131
15	58
16	198
17	100
18	132
19	132
20	121
21	113
22	224
23	66
24	172
25	180
26	58
27	306
28	65
29	121
30	129
31	115
32	122
33	118
34	96
35	175
36	128
37	47
38	82
39	92
40	72
41	140
42	91
43	56
44	121
45	106
46	51
47	55
48	51
49	64
50	46
51	97
52	80
53	122
54	125
55	54
56	126
57	133
58	122
59	52
60	62
61	59
62	54
63	58
64	65
65	33
66	77
67	167
68	170
69	63
70	49
71	45
72	119
73	105
74	61
75	65
76	112
77	38
78	50
79	53
80	49
81	68
82	39
83	37
84	58
85	29
86	57
87	43
88	60
89	62
90	48
91	37
92	128
93	48
94	34
95	37
96	27
97	44
98	44
99	34
100	42
101	39
102	39
103	36
104	38
105	53
106	27
107	30
108	61
109	44
110	23
111	29
112	30
113	21
114	26
115	42
116	30
117	42
118	28
119	40
120	34
121	44
122	40
123	52
124	43
125	36
126	43
127	37
128	27
129	53
130	62
131	49
132	54
133	62
134	47
135	27
136	57
137	37
138	27
139	22
140	30
141	51
142	21
143	29
144	25
145	33
146	35
147	33
148	42
149	35
150	30
151	39
152	38
153	45
154	28
155	34
156	32
157	38
158	27
159	37
160	36
161	24
162	30
163	28
164	31
165	32
166	37
167	39
168	38
169	38
170	37
171	28
172	44
173	40
174	54
175	30
176	75
177	26
178	35
179	39
180	35
181	57
182	61
183	43
184	44
185	34
186	57
187	47
188	45
189	38
190	47
191	21
192	38
193	46
194	35
195	55
196	45
197	30
198	29
199	27
200	31
201	32
202	35
203	33
204	34
205	41
206	35
207	22
208	29
209	42
210	46
211	35
212	48
213	48
214	22
215	24
216	30
217	35
218	21
219	24
220	24
221	21
222	17
223	31
224	25
225	25
226	32
227	27
228	31
229	48
230	25
231	19
232	32
233	33
234	14
235	20
236	20
237	31
238	20
239	31
240	24
241	31
242	29
243	24
244	30
245	25
246	21
247	25
248	20
249	24
250	24
251	42
252	31
253	33
254	9
255	20
256	26
257	24
258	27
259	23
260	32
261	21
262	16
263	28
264	30
265	32
266	30
267	34
268	50
269	26
270	23
271	23
272	23
273	17
274	22
275	19
276	49
277	25
278	28
279	29
280	22
281	15
282	21
283	27
284	15
285	25
286	28
287	29
288	21
289	20
290	20
291	21
292	14
293	20
294	25
295	4
296	12
297	17
298	26
299	18
300	23
301	15
302	21
303	24
304	14
305	30
306	24
307	23
308	15
309	23
310	21
311	12
