Fragment_length	Missing_sites	GAATTC-GAATTC	GAATTC-CCGG	CCGG-CCGG	Sum
3	0	0	100	0	100
4	0	0	23	373	396
5	0	0	111	432	543
6	0	1	58	407	466
7	0	0	40	365	405
8	0	2	45	434	481
9	0	0	60	410	470
10	0	1	46	407	454
11	0	1	63	384	448
12	0	1	40	390	431
13	0	2	51	409	462
14	0	0	47	397	444
15	0	2	40	394	436
16	0	3	45	384	432
17	0	5	48	375	428
18	0	2	46	372	420
19	1	0	35	390	426
20	0	2	41	356	399
21	0	0	41	365	406
22	0	2	33	404	439
23	0	0	47	367	414
24	0	3	48	380	431
25	0	1	49	327	377
26	0	1	38	346	385
27	0	2	43	364	409
28	0	0	52	380	432
29	1	2	35	360	398
30	0	2	49	357	408
31	0	2	54	378	434
32	0	0	46	345	391
33	0	1	48	346	395
34	0	1	38	354	393
35	0	1	46	361	408
36	0	1	45	371	417
37	0	2	46	370	418
38	0	0	44	345	389
39	0	2	41	352	395
40	0	4	47	360	411
41	0	1	43	376	420
42	0	1	40	330	371
43	0	1	43	370	414
44	0	1	36	346	383
45	0	0	45	335	380
46	0	1	41	350	392
47	0	1	34	323	358
48	1	3	42	332	378
49	0	3	38	315	356
50	0	0	40	332	372
51	0	0	45	323	368
52	0	1	48	330	379
53	0	0	45	321	366
54	0	3	38	301	342
55	0	3	44	331	378
56	0	3	40	347	390
57	0	0	34	309	343
58	0	2	32	312	346
59	0	0	45	315	360
60	0	1	45	316	362
61	0	0	43	295	338
62	0	0	40	300	340
63	0	1	47	296	344
64	0	1	37	313	351
65	0	3	45	322	370
66	0	1	47	318	366
67	0	2	38	306	346
68	0	1	29	312	342
69	1	1	37	294	333
70	0	2	38	299	339
71	0	0	41	307	348
72	0	0	41	281	322
73	0	1	34	312	347
74	0	0	45	292	337
75	1	2	33	287	323
76	0	1	32	308	341
77	0	2	43	293	338
78	0	1	30	313	344
79	0	1	44	313	358
80	0	0	40	321	361
81	0	0	27	308	335
82	0	1	34	301	336
83	0	2	30	281	313
84	0	2	36	276	314
85	0	1	37	282	320
86	0	3	31	337	371
87	0	0	31	281	312
88	0	2	23	287	312
89	1	0	37	293	331
90	1	0	30	264	295
91	0	0	32	287	319
92	0	0	35	319	354
93	0	1	48	294	343
94	0	0	23	259	282
95	0	1	32	249	282
