Fragment_length	CCGG-CTGCAG

2	26
3	34
4	21
5	23
6	120
7	78
8	49
9	67
10	48
11	87
12	122
13	99
14	55
15	64
16	61
17	65
18	23
19	38
20	45
21	51
22	37
23	63
24	47
25	41
26	28
27	30
28	41
29	38
30	45
31	36
32	39
33	23
34	48
35	34
36	34
37	34
38	26
39	29
40	34
41	34
42	45
43	25
44	23
45	26
46	33
47	22
48	44
49	35
50	37
51	30
52	33
53	34
54	34
55	53
56	39
57	28
58	38
59	38
60	23
61	57
62	37
63	27
64	36
65	43
66	36
67	47
68	40
69	27
70	64
71	30
72	28
73	42
74	30
75	29
76	61
77	28
78	28
79	32
80	41
81	18
82	33
83	36
84	32
85	39
86	35
87	24
88	27
89	35
90	32
91	31
92	35
93	26
94	28
95	31
96	25
97	24
98	33
99	37
100	20
101	30
102	28
103	31
104	25
105	29
106	20
107	25
108	29
109	25
110	26
111	31
112	27
113	38
114	36
115	70
116	34
117	19
118	33
119	40
120	76
121	82
122	25
123	38
124	38
125	29
126	65
127	72
128	24
129	35
130	26
131	24
132	25
133	53
134	24
135	34
136	37
137	30
138	24
139	31
140	45
141	24
142	22
143	31
144	57
145	39
146	35
147	44
148	41
149	40
150	43
151	58
152	60
153	36
154	33
155	22
156	33
157	32
158	41
159	40
160	25
161	28
162	14
163	23
164	25
165	14
166	25
167	26
168	21
169	20
170	20
171	22
172	26
173	20
174	21
175	21
176	20
177	17
178	21
179	17
180	24
181	26
182	24
183	28
184	25
185	23
186	27
187	20
188	18
189	25
190	15
191	17
192	22
193	22
194	23
195	24
196	37
197	13
198	24
199	26
200	29
201	16
202	28
203	27
204	29
205	21
206	15
207	30
208	33
209	21
210	28
211	26
212	20
213	24
214	13
215	23
216	19
217	19
218	19
219	16
220	19
221	18
222	24
223	20
224	15
225	16
226	26
227	18
228	15
229	19
230	27
231	18
232	11
233	16
234	20
235	22
236	23
237	29
238	31
239	32
240	19
241	24
242	19
243	22
244	28
245	21
246	21
247	22
248	20
249	23
250	19
251	18
252	22
253	16
254	23
255	25
256	18
257	26
258	21
259	18
260	13
261	25
262	23
263	17
264	29
265	15
266	20
267	21
268	17
269	13
270	27
271	21
272	27
273	22
274	21
275	16
276	14
277	16
278	13
279	22
280	19
281	17
282	23
283	31
284	17
285	21
286	14
287	24
288	28
289	19
290	20
291	16
292	22
293	24
294	26
295	15
296	26
297	17
298	17
299	18
300	17
301	28
302	15
303	20
304	18
305	17
306	21
307	13
308	23
309	16
310	12
311	21
312	16
313	14
314	10
315	15
316	17
317	15
318	18
319	13
320	23
321	13
322	22
323	18
324	23
325	21
326	17
327	20
328	22
329	14
330	18
331	20
332	15
333	16
334	22
335	9
336	9
337	17
338	18
339	11
340	12
341	15
342	17
343	19
344	22
345	13
346	24
347	20
348	24
349	14
350	25
351	16
352	18
353	22
354	18
355	25
356	15
357	19
358	19
359	16
360	19
361	18
362	21
363	16
364	23
365	11
366	26
367	13
368	11
369	14
370	15
371	17
372	17
373	21
374	19
375	14
376	13
377	14
378	17
379	28
380	24
381	17
382	15
383	18
384	20
385	18
386	22
387	13
388	13
389	16
390	28
391	14
392	16
393	21
394	23
395	18
396	13
397	18
398	12
399	26
400	20
401	15
402	21
403	19
404	14
405	14
406	17
407	24
408	13
409	23
410	13
411	12
412	22
413	14
414	21
415	21
416	17
417	8
418	24
419	9
420	8
421	16
422	13
423	15
424	16
425	16
426	22
427	19
428	18
429	15
430	17
431	9
432	21
433	16
434	18
435	22
436	10
437	18
438	14
439	15
440	10
441	16
442	20
443	18
444	20
445	19
446	20
447	15
448	18
449	15
450	10
451	20
452	14
453	12
454	19
455	15
456	27
457	17
458	16
459	16
460	12
461	6
462	15
463	16
464	14
465	13
466	11
467	17
468	19
469	13
470	15
471	10
472	17
473	10
474	10
475	18
476	20
477	13
478	8
479	14
480	14
481	12
482	22
483	21
484	19
485	9
486	15
487	15
488	17
489	10
490	21
491	14
492	15
493	14
494	19
495	11
496	20
497	14
498	15
499	14
500	15
501	16
502	20
503	20
504	21
505	18
506	9
507	9
508	11
509	20
510	14
511	18
512	10
513	23
514	10
515	16
516	11
517	18
518	18
519	17
520	13
521	18
522	20
523	18
524	18
525	17
526	13
527	14
528	20
529	18
530	15
531	16
532	12
533	21
534	9
535	17
536	19
537	20
538	15
539	20
540	12
541	14
542	18
543	14
544	10
545	17
546	20
547	9
548	8
549	9
550	13
551	12
552	15
553	14
554	14
555	13
556	15
557	10
558	10
559	16
560	13
561	17
562	12
563	12
564	16
565	9
566	15
567	17
568	10
569	14
570	14
571	17
572	12
573	16
574	20
575	14
576	19
577	15
578	16
579	23
580	14
581	7
582	18
583	16
584	8
585	15
586	17
587	13
588	7
589	14
590	12
591	13
592	13
593	11
594	11
595	22
596	17
597	10
598	20
599	10
600	12
601	9
602	20
