Fragment_length	CTGCAG-CTGCAG

6	11
7	22
8	35
9	15
10	18
11	14
12	10
13	9
14	7
15	15
16	13
17	8
18	8
19	10
20	10
21	16
22	20
23	22
24	17
25	8
26	18
27	20
28	17
29	18
30	14
31	9
32	15
33	21
34	15
35	14
36	16
37	9
38	14
39	18
40	10
41	14
42	18
43	12
44	14
45	20
46	23
47	8
48	11
49	47
50	11
51	21
52	19
53	27
54	9
55	16
56	11
57	15
58	8
59	10
60	17
61	9
62	9
63	9
64	19
65	8
66	8
67	8
68	10
69	6
70	8
71	8
72	18
73	9
74	17
75	5
76	9
77	5
78	14
79	13
80	11
81	12
82	14
83	19
84	7
85	8
86	7
87	6
88	15
89	7
90	11
91	7
92	10
93	10
94	6
95	6
96	7
97	6
98	17
99	16
100	6
101	10
102	7
103	13
104	11
105	12
106	13
107	20
108	14
109	16
110	14
111	15
112	52
113	24
114	87
115	25
116	55
117	74
118	22
119	18
120	9
121	3
122	22
123	8
124	3
125	8
126	8
127	12
128	20
129	10
130	11
131	15
132	14
133	7
134	4
135	5
136	6
137	5
138	11
139	7
140	10
141	14
142	107
143	18
144	5
145	11
146	8
147	9
148	10
149	12
150	5
151	9
152	7
153	7
154	11
155	7
156	11
157	12
158	6
159	3
160	6
161	10
162	9
163	18
164	14
165	10
166	6
167	6
168	8
169	6
170	8
171	5
172	7
173	9
174	6
175	8
176	5
177	16
178	10
179	8
180	7
181	11
182	10
183	9
184	8
185	6
186	9
187	10
188	6
189	15
190	8
191	9
192	5
193	10
194	9
195	6
196	7
197	8
198	9
199	9
200	7
201	11
202	25
203	10
204	17
205	3
206	6
207	7
208	11
209	5
210	4
211	8
212	11
213	3
214	8
215	8
216	11
217	9
218	8
219	9
220	10
221	6
222	4
223	3
224	8
225	10
226	9
227	8
228	2
229	6
230	7
231	6
232	8
233	6
234	6
235	4
236	3
237	10
238	6
239	8
240	7
241	7
242	4
243	6
244	9
245	6
246	6
247	11
248	9
249	6
250	7
251	6
252	8
253	6
254	5
255	6
256	5
257	13
258	3
259	6
260	7
261	7
262	9
263	7
264	13
265	5
266	7
267	7
268	10
269	8
270	10
271	11
272	6
273	4
274	9
275	6
276	6
277	9
278	9
279	19
280	11
281	8
282	13
283	11
284	20
285	13
286	10
287	4
288	5
289	4
290	8
291	4
292	8
293	6
294	7
295	10
296	7
297	8
298	7
299	11
300	7
301	8
302	14
303	7
304	6
305	6
306	5
307	8
308	10
309	15
310	3
311	12
312	19
313	12
314	6
315	7
316	1
317	5
318	6
319	10
320	5
321	5
322	8
323	7
324	3
325	3
326	8
327	6
328	10
329	4
330	7
331	6
332	6
333	7
334	8
335	6
336	5
337	8
338	4
339	8
340	9
341	5
342	9
343	3
344	5
345	4
346	7
347	4
348	7
349	5
350	6
351	3
352	7
353	4
354	4
355	8
356	8
357	2
358	8
359	3
360	2
361	8
362	3
363	4
364	4
365	8
366	5
367	8
368	4
369	7
370	4
371	7
372	6
373	8
374	7
375	8
376	4
377	8
378	6
379	3
380	1
381	6
382	3
383	4
384	3
385	5
386	5
387	5
388	7
389	6
390	7
391	6
392	5
393	5
394	5
395	5
396	3
397	3
398	3
399	8
400	5
401	4
402	7
403	9
404	7
405	8
406	2
407	4
408	7
409	6
410	5
411	8
412	7
413	8
414	2
415	6
416	2
417	6
418	5
419	5
420	4
421	6
422	9
423	2
424	4
425	3
426	8
427	8
428	3
429	11
430	7
431	6
432	2
433	3
434	5
435	4
436	6
437	6
438	9
439	7
440	1
441	2
442	7
443	3
444	2
445	4
446	4
447	5
448	5
449	5
450	5
451	3
452	3
453	7
454	5
455	4
456	8
457	4
458	7
459	5
460	5
461	2
462	6
463	6
464	4
465	3
466	3
467	2
468	7
469	11
470	6
471	9
472	2
473	4
474	3
475	7
476	8
477	5
478	4
479	4
481	5
482	6
483	3
484	9
485	3
486	5
487	1
488	4
489	2
490	5
491	1
492	5
493	5
494	3
495	5
496	2
497	6
498	6
499	7
500	10
501	3
503	7
504	7
505	2
506	2
507	5
508	4
509	3
510	7
511	6
512	1
513	6
514	2
515	6
516	1
517	4
518	6
519	7
520	4
521	5
522	8
523	7
524	6
525	1
526	5
527	2
528	3
529	1
530	2
531	9
532	6
533	5
534	5
535	8
536	5
537	2
538	2
539	4
540	5
541	3
542	6
543	4
544	5
545	5
546	6
547	1
548	8
549	7
550	5
551	6
552	6
553	6
554	1
555	4
556	7
557	1
558	8
559	3
560	3
561	4
562	3
563	3
564	7
565	6
566	4
567	2
568	3
569	2
570	5
571	7
572	2
573	4
574	21
575	3
576	7
577	3
578	2
579	7
580	7
581	2
582	3
583	4
584	6
585	5
586	4
587	3
588	3
589	2
590	4
591	4
592	7
593	2
594	7
595	4
596	3
597	4
599	1
600	7
601	10
602	4
603	4
604	2
605	3
606	9
607	4
608	5
609	5
610	3
611	8
612	7
613	1
614	2
615	5
616	7
617	5
618	3
619	2
620	2
621	6
622	3
623	1
624	4
625	4
626	4
627	7
628	1
629	3
630	3
631	4
632	3
633	3
634	4
635	3
636	6
637	4
638	4
639	4
640	5
641	3
642	5
643	3
644	2
645	6
646	2
647	9
648	6
649	5
650	2
651	3
652	8
653	6
654	6
655	8
656	8
657	8
658	7
659	3
660	2
661	3
662	5
663	3
664	7
665	2
666	5
667	5
668	2
669	3
670	2
671	4
672	5
673	6
674	9
675	4
676	7
677	2
678	4
679	2
680	2
681	4
682	4
683	3
684	3
685	5
686	5
687	3
688	3
689	3
690	3
692	1
693	1
694	2
695	2
696	4
697	2
698	3
699	1
700	1
701	4
702	4
703	1
704	2
705	5
706	4
707	2
708	3
709	6
710	1
711	6
712	5
713	6
714	9
715	4
716	2
717	5
718	4
719	5
720	4
721	2
722	7
723	4
724	6
725	3
726	6
727	4
728	1
729	8
730	3
731	1
732	2
733	2
734	2
735	6
736	3
737	5
738	3
739	1
740	5
741	2
742	7
743	2
744	4
745	4
746	9
747	5
748	4
749	3
750	5
751	1
752	5
753	6
754	3
755	4
756	3
757	6
758	2
759	1
760	8
761	3
762	2
763	3
764	4
765	3
766	2
767	6
768	6
769	2
770	4
771	3
772	7
773	3
774	5
775	4
776	4
777	2
778	4
779	2
780	2
781	4
782	6
783	5
784	4
785	2
786	5
787	1
788	2
789	2
790	7
791	2
792	5
793	2
794	5
795	1
796	3
797	5
798	1
799	3
800	4
801	5
802	4
803	5
804	2
805	3
806	5
807	3
808	6
809	2
810	5
811	3
812	6
813	3
814	5
815	2
816	3
817	5
818	2
819	4
820	6
821	2
822	3
823	3
825	4
826	1
827	3
828	5
829	3
830	4
831	4
832	2
833	6
835	4
836	2
837	5
838	2
839	3
840	1
841	3
842	4
843	5
844	2
846	2
847	2
848	2
849	2
850	4
851	2
852	3
853	1
854	4
855	5
856	2
857	3
858	4
859	3
860	3
861	3
863	4
864	1
865	6
866	1
867	3
868	2
869	1
870	1
871	1
872	3
873	2
874	4
875	4
876	4
877	1
878	2
879	1
880	1
881	4
882	4
883	7
884	1
885	8
886	1
887	1
888	2
889	6
890	2
892	2
893	1
894	3
895	5
896	2
897	4
898	3
899	6
900	2
901	2
902	1
903	1
904	1
905	1
906	3
907	3
908	4
909	2
910	3
911	1
912	6
913	2
914	2
916	4
917	3
918	6
919	1
920	3
921	2
922	3
923	4
924	3
925	4
926	2
927	4
928	2
929	5
931	1
932	3
933	2
934	2
935	3
936	3
937	1
938	4
939	4
941	1
942	4
943	2
944	2
945	3
946	1
947	2
948	1
949	2
950	3
951	3
952	3
953	2
954	5
955	1
956	4
958	3
959	5
960	1
961	2
962	2
963	2
964	1
965	4
966	3
967	1
968	1
969	4
970	3
971	2
972	1
973	1
974	3
975	3
976	2
977	3
978	5
979	4
980	3
981	4
982	2
983	2
984	2
986	5
987	5
988	1
990	2
991	2
992	1
993	1
994	4
995	3
996	5
998	5
999	13
1000	3
1001	3
1002	3
1003	3
1004	1
1005	4
1006	2
1007	2
1008	3
1009	2
1010	4
1011	2
1012	1
1013	1
1014	1
1015	1
1016	1
1017	13
1018	2
1019	4
1020	4
1021	2
1022	3
1023	2
1024	5
1025	2
1026	2
1027	2
1028	6
1029	2
1030	3
1031	1
1032	2
1033	3
1034	3
1035	4
1036	1
1037	3
1038	3
1039	1
1040	2
1041	2
1042	1
1043	1
1044	3
1045	2
1046	5
1047	1
1048	2
1049	2
1050	1
1051	2
1052	2
1053	7
1054	4
1055	4
1056	7
1057	3
1058	2
1059	2
1060	1
1062	2
1063	1
1064	2
1065	1
1066	2
1067	1
1068	3
1069	4
1071	2
1074	2
1075	3
1076	2
1077	2
1078	3
1079	1
1080	3
1081	5
1083	6
1084	2
1086	4
1087	2
1088	2
1089	2
1090	1
1091	1
1092	2
1093	3
1094	1
1096	6
1097	4
1098	2
1099	1
1100	4
1101	3
1102	1
1103	2
1104	3
1105	4
1106	7
1107	3
1108	3
1109	1
1110	3
1113	3
1114	1
1115	1
1116	3
1117	1
1118	1
1119	3
1121	5
1122	2
1123	1
1125	1
1126	3
1127	2
1129	2
1130	2
1131	3
1132	2
1133	5
1134	3
1135	3
1137	4
1138	4
1139	3
1140	4
1141	3
1142	1
1143	1
1144	6
1145	2
1146	3
1147	2
1148	3
1149	6
1150	1
1151	4
1152	5
1153	1
1154	4
1157	4
1158	3
1159	3
1160	1
1161	1
1162	3
1163	1
1164	3
1165	6
1167	3
1169	2
1170	3
1171	1
1172	1
1173	3
1174	2
1175	1
1176	1
1177	2
1178	3
1179	5
1180	3
1181	1
1182	4
1184	2
1185	2
1187	2
1188	4
1189	2
1190	4
1191	2
1192	2
1193	4
1195	1
1196	3
1197	4
1198	2
1200	4
1201	3
1202	3
1203	2
1204	2
1205	1
1206	2
1208	3
1209	2
1210	1
1211	2
1212	2
1213	3
1214	4
1215	1
1216	3
1217	2
1218	4
1219	4
1220	1
1221	1
1222	5
1223	2
1224	5
1225	1
1226	3
1227	2
1229	2
1230	3
1231	2
1232	2
1233	2
1234	4
1235	2
1236	1
1237	1
1238	2
1239	3
1240	2
1241	1
1242	3
1243	1
1244	2
1245	3
1246	2
1248	3
1249	1
1250	1
1251	3
1252	2
1253	1
1254	2
1255	4
1256	1
1257	3
1258	3
1259	2
1260	2
1261	2
1262	1
1263	1
1264	1
1266	2
1267	2
1268	4
1269	4
1270	2
1271	1
1274	2
1277	4
1278	1
1280	2
1282	4
1283	2
1285	1
1287	5
1288	3
1289	1
1290	2
1291	1
1293	1
1294	2
1295	3
1296	4
1297	4
1298	4
1301	2
1302	1
1303	2
1304	4
1305	1
1306	3
1307	1
1308	1
1310	1
1311	1
1312	2
1313	1
1314	5
1315	2
1316	2
1318	3
1319	2
1321	1
1322	6
1323	4
1324	3
1326	1
1330	2
1331	1
1332	3
1333	4
1334	1
1336	2
1338	3
1340	2
1341	2
1345	1
1346	2
1347	4
1350	1
1351	3
1352	3
1354	2
1355	3
1356	4
1357	5
1358	2
1359	1
1360	2
1361	1
1362	3
1363	1
1364	2
1367	3
1368	6
1369	2
1370	1
1371	2
1372	1
1373	2
1374	5
1375	3
1378	1
1379	2
1380	1
1381	2
1382	2
1383	2
1384	1
1385	2
1386	2
1387	3
1388	1
1389	1
1390	1
1391	1
1392	4
1393	3
1394	1
1395	2
1396	2
1397	1
1398	2
1399	1
1400	2
1401	2
1402	3
1403	2
1405	2
1406	3
1408	4
1409	6
1410	1
1411	1
1413	3
1414	3
1415	2
1416	2
1418	3
1419	3
1421	1
1423	2
1424	2
1426	3
1427	3
1428	1
1429	4
1430	2
1431	1
1432	1
1433	2
1434	3
1436	2
1438	1
1440	1
1441	3
1442	2
1443	1
1444	1
1445	1
1447	2
1448	2
1449	1
1450	1
1453	3
1454	1
1455	1
1457	1
1458	2
1459	1
1460	1
1461	3
1464	1
1468	1
1469	2
1470	2
1471	4
1472	2
1476	1
1477	2
1480	1
1481	3
1483	4
1484	1
1485	2
1486	1
1487	1
1488	1
1489	1
1492	1
1493	2
1495	2
1496	2
1497	1
1498	2
1499	1
1500	1
1501	1
1502	3
1503	1
1506	2
1507	1
1509	2
1512	5
1513	1
1514	1
1515	3
1516	1
1517	2
1518	1
1519	1
1520	1
1522	3
1523	2
1524	1
1525	2
1526	1
1528	2
1530	2
1531	1
1532	3
1533	2
1534	1
1535	1
1536	2
1537	1
1538	3
1539	2
1541	1
1542	1
1543	1
1545	2
1547	2
1549	3
1550	3
1551	2
1553	1
1554	2
1555	1
1556	1
1557	1
1559	2
1560	2
1562	1
1564	5
1565	1
1568	2
1569	3
1571	1
1574	3
1575	1
1576	2
1577	2
1579	3
1580	2
1581	3
1582	3
1583	1
1585	1
1586	1
1587	1
1588	1
1589	3
1590	1
1591	1
1592	1
1593	1
1594	1
1596	1
1597	1
1598	2
1599	1
1602	1
1604	2
1605	2
1606	1
1607	1
1608	4
1609	2
1612	1
1613	1
1614	2
1616	3
1617	2
1619	3
1620	3
1621	1
1622	1
1623	1
1624	2
1627	1
1629	4
1630	2
1631	1
1633	1
1634	1
1635	3
1636	2
1639	1
1640	3
1643	1
1644	1
1645	3
1646	3
1648	1
1649	1
1652	2
1654	2
1655	1
1656	2
1657	2
1658	2
1659	1
1660	4
1662	3
1663	1
1664	1
1665	2
1666	1
1667	1
1670	2
1671	1
1672	1
1673	2
1675	2
1676	1
1677	2
1679	1
1681	4
1682	1
1683	1
1685	4
1687	1
1688	2
1689	3
1690	2
1691	3
1692	2
1693	2
1694	1
1696	4
1697	2
1699	2
1700	1
1703	2
1704	2
1708	2
1709	1
1710	4
1711	1
1712	1
1714	1
1718	1
1719	1
1721	1
1722	2
1723	1
1724	2
1726	1
1729	1
1730	1
1732	2
1734	3
1735	1
1737	3
1738	1
1739	1
1740	2
1742	1
1743	2
1746	2
1747	2
1748	1
1753	3
1755	3
1756	1
1757	1
1758	3
1759	1
1761	4
1762	1
1763	1
1765	2
1766	1
1767	1
1768	1
1769	1
1770	1
1771	3
1772	1
1773	1
1774	3
1775	2
1776	1
1778	2
1781	2
1782	4
1784	1
1785	1
1786	1
1788	1
1789	1
1790	3
1791	2
1792	1
1793	1
1794	2
1796	2
1797	1
1799	1
1800	1
1801	2
1802	1
1804	2
1806	1
1807	1
1808	2
1809	1
1810	1
1811	2
1812	1
1813	1
1815	1
1816	1
1817	1
1819	1
1820	2
1821	2
1823	2
1824	1
1825	1
1826	3
1827	2
1828	4
1829	1
1831	1
1833	1
1834	1
1835	3
1836	2
1839	1
1840	1
1841	2
1843	3
1844	1
1845	2
1847	2
1848	1
1849	4
1850	1
1851	1
1852	1
1854	2
1855	1
1856	1
1857	2
1860	1
1862	1
1864	1
1866	1
1868	3
1871	1
1872	2
1874	1
1876	2
1878	1
1882	1
1884	2
1885	3
1886	1
1887	2
1888	1
1890	1
1891	1
1893	2
1894	1
1895	2
1896	2
1899	1
1902	2
1903	2
1904	3
1905	1
1906	3
1908	1
1909	2
1910	1
1911	1
1912	3
1914	1
1916	2
1918	1
1919	1
1920	1
1921	2
1923	1
1924	1
1925	4
1926	1
1927	2
1928	1
1929	4
1930	3
1931	2
1934	2
1935	1
1937	1
1938	1
1939	2
1941	3
1942	1
1943	1
1945	1
1947	2
1948	1
1949	2
1950	1
1951	1
1954	4
1956	1
1957	2
1958	2
1959	1
1960	2
1964	2
1965	2
1966	2
1968	1
1970	2
1971	5
1972	1
1973	1
1975	1
1976	2
1977	2
1979	1
1981	1
1984	2
1985	1
1986	1
1989	1
1990	2
1991	1
1995	1
1996	3
1998	1
1999	1
2000	2
2001	1
2003	3
2004	1
2005	1
2007	2
2008	1
2009	1
2011	1
2013	1
2015	1
2020	2
2021	2
2022	2
2023	1
2024	1
2025	1
2026	1
2030	1
2031	2
2032	2
2033	1
2035	1
2036	1
2041	2
2042	2
2045	1
2047	1
2049	4
2051	1
2052	1
2054	1
2057	1
2058	2
2059	1
2062	1
2064	1
2066	1
2068	2
2069	3
2076	1
2077	2
2079	1
2081	1
2082	1
2083	1
2084	2
2085	1
2087	2
2090	1
2091	1
2092	2
2093	2
2097	2
2098	1
2101	1
2102	2
2106	1
2108	1
2109	1
2110	1
2112	1
2113	1
2114	1
2115	1
2116	1
2118	2
2120	1
2124	1
2125	1
2128	1
2130	2
2132	2
2134	1
2135	2
2136	2
2138	2
2142	1
2143	1
2145	2
2148	3
2149	1
2152	2
2153	3
2155	1
2156	2
2158	1
2160	3
2161	1
2165	1
2166	1
2168	1
2169	3
2172	1
2173	1
2174	1
2175	1
2177	2
2178	1
2179	2
2181	1
2183	3
2184	1
2185	1
2189	2
2190	1
2191	1
2192	1
2193	1
2195	1
2196	1
2197	1
2198	1
2200	1
2204	2
2205	1
2207	1
2209	1
2211	3
2213	1
2214	2
2215	2
2218	1
2220	1
2221	2
2222	1
2223	1
2225	1
2226	4
2228	1
2229	1
2230	2
2234	2
2235	3
2236	2
2239	1
2241	1
2242	1
2245	1
2246	1
2247	1
2248	1
2249	2
2254	1
2256	1
2257	1
2258	2
2259	2
2262	1
2265	1
2268	1
2272	1
2274	2
2275	1
2278	1
2279	1
2280	1
2284	1
2286	2
2290	2
2294	1
2295	1
2297	1
2300	2
2303	1
2304	1
2305	1
2306	1
2309	1
2310	1
2311	3
2312	1
2314	1
2315	1
2320	1
2321	2
2322	3
2323	1
2324	1
2325	2
2326	2
2329	1
2331	1
2333	1
2334	1
2336	1
2337	1
2339	1
2340	1
2341	1
2347	1
2350	2
2351	2
2355	2
2356	1
2358	2
2362	1
2365	1
2367	1
2369	2
2370	2
2375	1
2376	3
2377	1
2379	1
2380	3
2382	1
2383	1
2384	1
2385	2
2386	2
2387	1
2388	2
2392	1
2394	2
2395	1
2396	2
2397	2
2398	1
2403	1
2405	1
2406	1
2407	1
2409	1
2413	1
2420	1
2421	2
2422	2
2426	1
2433	1
2435	1
2436	2
2437	1
2438	1
2441	3
2448	1
2453	1
2455	3
2457	3
2460	2
2462	1
2463	2
2465	1
2470	1
2475	1
2478	2
2485	1
2494	2
2496	2
2500	2
2501	1
2504	1
2505	1
2507	1
2510	1
2514	1
2518	2
2519	2
2520	2
2522	1
2523	1
2525	2
2530	1
2534	1
2542	1
2545	2
2548	1
2549	1
2554	2
2555	1
2556	2
2558	1
2560	1
2562	1
2564	1
2566	1
2570	1
2572	2
2578	2
2582	3
2583	1
2589	1
2594	1
2597	2
2598	1
2603	2
2606	1
2607	1
2609	3
2612	1
2614	1
2615	2
2616	1
2623	1
2624	1
2626	2
2627	2
2628	1
2632	1
2633	1
2637	1
2638	2
2639	1
2640	1
2641	1
2642	1
2643	1
2646	1
2648	1
2650	2
2651	2
2652	2
2655	1
2657	1
2658	1
2660	2
2661	1
2662	1
2665	2
2666	1
2668	1
2669	1
2670	1
2671	1
2672	1
2676	1
2679	2
2683	1
2686	2
2688	1
2689	2
2692	1
2696	1
2697	2
2698	1
2699	1
2702	1
2705	1
2709	2
2714	2
2716	1
2725	1
2727	2
2728	1
2729	1
2737	2
2738	2
2741	1
2742	1
2745	1
2746	1
2748	2
2749	1
2752	1
2756	2
2758	2
2759	1
2760	2
2761	2
2764	3
2767	1
2771	1
2773	2
2776	1
2784	1
2787	1
2793	1
2795	1
2799	1
2802	1
2805	1
2807	1
2810	1
2811	2
2816	1
2822	1
2823	1
2824	2
2827	1
2828	2
2830	1
2831	1
2832	1
2833	1
2834	1
2836	2
2839	2
2840	1
2843	1
2845	1
2848	1
2849	1
2852	2
2854	2
2858	1
2861	1
2866	1
2867	1
2868	1
2870	2
2872	2
2873	2
2874	1
2878	1
2894	1
2902	1
2903	1
2904	1
2909	1
2913	1
2925	1
2926	1
2927	2
2928	1
2930	1
2935	3
2938	2
2939	1
2944	1
2946	1
2947	2
2948	1
2949	1
2950	2
2951	1
2955	1
2961	1
2965	1
2966	1
2967	2
2968	1
2972	1
2976	1
2980	1
2985	1
2986	2
2988	1
2989	1
2992	2
2994	1
2996	3
3000	1
3006	1
3008	1
3025	2
3027	1
3033	1
3034	1
3040	1
3041	1
3053	1
3056	1
3058	2
3061	1
3062	1
3067	1
3069	1
3071	1
3075	2
3077	1
3079	1
3080	1
3082	1
3084	2
3085	2
3090	1
3091	1
3094	1
3096	1
3100	1
3104	1
3109	2
3111	2
3113	1
3121	2
3124	1
3127	1
3133	1
3136	1
3139	1
3149	1
3158	1
3160	1
3161	2
3163	1
3169	1
3172	1
3175	1
3177	1
3178	2
3179	1
3191	1
3195	2
3200	1
3202	1
3203	1
3207	1
3209	1
3211	1
3214	2
3218	1
3221	1
3231	1
3232	3
3241	1
3242	1
3247	1
3250	1
3252	1
3254	2
3257	1
3258	1
3260	1
3266	2
3267	2
3276	1
3277	1
3282	1
3292	2
3301	1
3304	1
3308	2
3311	1
3312	1
3328	1
3330	1
3339	1
3344	1
3346	1
3358	1
3374	1
3381	1
3382	1
3388	1
3396	1
3402	1
3408	1
3419	1
3420	1
3427	1
3429	1
3432	1
3434	1
3436	1
3437	1
3444	1
3445	1
3451	2
3453	2
3463	1
3465	1
3474	1
3480	1
3505	1
3506	1
3507	2
3511	1
3513	1
3518	1
3525	2
3528	1
3559	1
3568	1
3570	1
3576	1
3577	1
3579	1
3590	1
3595	1
3601	2
3603	1
3612	1
3613	1
3615	1
3616	1
3624	1
3628	1
3645	1
3651	1
3652	1
3665	4
3668	1
3669	1
3670	1
3673	1
3674	1
3675	1
3677	1
3690	1
3692	2
3700	1
3703	1
3707	1
3712	1
3730	1
3733	1
3749	1
3751	1
3759	1
3764	1
3769	1
3772	2
3773	1
3776	1
3790	1
3807	2
3808	1
3811	1
3818	1
3824	1
3828	1
3834	1
3838	1
3849	1
3850	1
3855	1
3863	1
3873	1
3876	1
3880	1
3881	1
3882	2
3897	1
3899	1
3901	1
3902	1
3905	1
3912	1
3915	1
3919	1
3921	1
3923	1
3926	1
3940	1
3946	1
3947	1
3962	1
3967	1
3981	1
3989	2
3992	1
3996	1
4003	1
4005	1
4009	1
4011	2
4028	1
4036	1
4043	1
4052	1
4062	1
4101	1
4103	1
4119	1
4129	1
4132	1
4145	1
4148	1
4150	1
4159	1
4163	1
4173	1
4184	1
4197	1
4214	1
4224	1
4242	1
4255	1
4260	1
4270	2
4271	1
4282	1
4294	1
4305	1
4314	1
4337	1
4350	1
4380	1
4384	1
4388	1
4392	1
4401	1
4407	1
4463	1
4466	1
4467	1
4470	1
4474	1
4498	1
4543	1
4545	1
4559	1
4575	1
4576	1
4595	1
4598	1
4607	1
4613	1
4695	1
4705	1
4706	1
4720	2
4746	1
4765	1
4772	1
4783	1
4791	1
4798	1
4802	1
4812	1
4813	1
4853	2
4858	1
4866	1
4927	2
4952	1
4953	1
4962	1
4972	1
4981	1
4987	1
5014	1
5030	1
5052	1
5061	1
5076	1
5108	1
5113	1
5124	1
5157	1
5161	1
5182	1
5183	1
5186	1
5196	1
5228	1
5236	1
5259	1
5269	1
5298	1
5302	1
5380	1
5388	1
5405	1
5417	1
5520	1
5557	1
5600	1
5734	1
5753	1
5781	1
5794	1
5847	1
5851	1
5881	1
5916	1
5990	1
6100	1
6309	1
6348	1
6428	1
6456	1
6482	1
6654	1
6672	1
6766	1
6788	1
6796	1
6935	1
7152	1
7350	1
7355	1
7428	1
