Fragment_length	Missing_sites	ATAT-ATAT	GAATTC-ATAT	Sum
4	0	11	0	11
5	0	1	0	1
6	0	5	0	5
7	0	2	0	2
8	0	4	0	4
9	0	2	0	2
10	0	5	0	5
11	0	6	0	6
12	0	4	0	4
13	0	4	0	4
14	0	2	1	3
15	0	4	0	4
16	0	3	0	3
17	0	5	0	5
18	0	4	0	4
19	0	3	0	3
20	0	2	0	2
21	0	6	0	6
22	0	3	0	3
23	0	2	0	2
24	0	1	0	1
25	0	2	1	3
26	0	3	0	3
27	0	4	0	4
28	0	1	0	1
29	0	4	0	4
30	0	4	0	4
31	0	3	1	4
32	0	3	0	3
34	0	5	0	5
35	0	1	0	1
36	0	1	0	1
37	0	3	0	3
38	0	1	0	1
39	0	1	0	1
40	0	1	1	2
41	0	2	0	2
42	0	5	0	5
43	0	1	1	2
44	0	2	0	2
46	0	5	1	6
47	0	1	0	1
49	0	1	1	2
51	0	1	0	1
52	0	3	0	3
53	0	1	0	1
54	0	2	0	2
55	0	2	0	2
56	0	2	1	3
58	0	1	0	1
60	0	1	0	1
61	0	1	0	1
62	0	4	0	4
64	0	2	0	2
65	0	1	1	2
66	0	1	0	1
67	0	2	0	2
68	0	2	0	2
69	0	2	0	2
70	0	1	0	1
71	0	1	0	1
73	0	3	0	3
74	0	1	0	1
77	0	1	0	1
78	0	4	0	4
79	0	2	0	2
80	0	1	0	1
81	1	0	0	1
83	0	3	0	3
84	0	0	1	1
85	0	1	0	1
86	0	1	0	1
88	0	2	0	2
89	0	5	0	5
90	0	3	0	3
94	0	1	0	1
96	0	2	0	2
97	0	2	0	2
100	0	1	0	1
103	0	1	0	1
104	0	1	0	1
105	0	4	0	4
106	0	1	0	1
110	0	2	0	2
115	0	2	0	2
117	0	1	0	1
118	0	1	0	1
119	0	1	0	1
120	0	1	0	1
122	0	1	0	1
123	0	2	0	2
126	0	2	0	2
128	0	1	0	1
130	0	1	0	1
132	0	2	0	2
133	0	1	0	1
134	0	1	0	1
139	0	0	1	1
141	0	3	0	3
142	0	2	0	2
143	0	1	0	1
144	0	1	0	1
145	0	1	0	1
146	0	2	0	2
152	0	2	0	2
154	0	2	0	2
155	0	1	0	1
161	0	1	0	1
162	0	1	0	1
164	0	1	0	1
166	0	3	0	3
169	0	1	0	1
171	0	1	0	1
175	0	3	0	3
176	0	1	0	1
178	0	1	0	1
181	0	1	0	1
182	0	1	0	1
192	0	1	0	1
193	0	2	0	2
194	0	3	0	3
197	0	1	0	1
201	0	1	0	1
204	0	2	0	2
205	0	1	0	1
208	0	1	0	1
213	0	1	0	1
219	0	1	0	1
221	0	1	0	1
225	0	1	0	1
229	0	1	0	1
235	0	1	0	1
239	0	1	0	1
240	0	0	1	1
243	0	1	0	1
247	0	1	0	1
256	0	1	0	1
267	0	1	0	1
270	0	1	0	1
278	0	1	0	1
286	0	0	1	1
288	0	1	0	1
290	0	1	0	1
292	0	1	0	1
299	0	0	1	1
300	0	1	0	1
303	0	1	0	1
305	0	2	0	2
319	0	1	0	1
327	0	1	0	1
329	0	1	0	1
331	0	1	0	1
339	0	1	0	1
345	0	1	0	1
346	0	1	0	1
356	0	1	0	1
369	0	2	0	2
376	0	1	0	1
383	0	1	0	1
388	0	1	0	1
398	0	1	0	1
409	0	1	0	1
411	0	1	0	1
417	0	1	0	1
425	0	1	0	1
436	0	1	0	1
440	0	1	0	1
446	0	1	0	1
457	0	1	0	1
460	0	1	0	1
465	0	1	0	1
511	0	1	0	1
520	0	2	0	2
524	0	1	0	1
529	0	1	0	1
547	0	1	0	1
571	0	1	0	1
623	0	1	0	1
625	0	1	0	1
630	0	1	0	1
656	0	1	0	1
710	0	1	0	1
713	0	1	0	1
738	0	1	0	1
750	0	1	0	1
768	0	1	0	1
769	0	1	0	1
794	0	1	0	1
829	0	1	0	1
836	0	1	0	1
845	1	0	0	1
859	0	1	0	1
867	0	1	0	1
870	0	1	0	1
962	0	1	0	1
992	0	1	0	1
1010	0	1	0	1
1045	0	1	0	1
1069	0	1	0	1
1079	0	1	0	1
1089	0	1	0	1
1184	0	1	0	1
1190	0	1	0	1
1319	0	1	0	1
1839	0	1	0	1
2810	0	1	0	1
3910	0	1	0	1
